Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
Northern Territory,Australia,-12.4634,130.8456,25,25,25,24,24,25,24,24,25,25,25,25,25,26,26,26,25,26,26,25,25,25,26,26,26,25,26,27,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,27,26,26,26,25,26,26,26,26,26,26,26,25,26,26,26,25,24,25,25,25,24,24,25,24,25,25,25,23,23,24,23,24,23,23,24,25,24,24
Queensland,Australia,-28.0167,153.4,19,20,19,18,19,20,21,19,20,21,22,21,18,20,21,21,21,22,22,24,23,24,25,24,24,22,21,22,23,22,21,21,21,22,21,19,21,22,23,22,23,23,23,23,22,23,23,22,23,24,22,20,19,19,21,21,22,22,22,21,20,21,22,22,21,23,22,19,19,19,17,18,17,17,17,15,16,16,16,17,19,20,20,18,17,17
South Australia,Australia,-34.9285,138.6007,9,10,1,13,9,9,10,9,7,16,10,11,9,11,13,10,8,11,13,14,11,11,10,12,15,15,13,12,7,1,19,18,13,11,6,10,12,15,17,16,16,16,16,18,17,14,13,11,13,9,10,10,10,9,11,14,12,9,13,13,13,10,8,12,12,13,11,10,9,11,13,13,14,7,8,8,7,7,9,13,11,11,6,8,9,8
Tasmania,Australia,-41.4545,145.9707,4,6,6,6,1,4,7,5,10,11,3,5,7,10,13,8,3,5,9,11,9,9,6,6,10,8,6,9,10,5,7,12,4,1,2,6,9,11,10,8,9,14,14,12,13,13,5,4,8,5,4,3,5,9,8,8,3,5,4,8,9,4,5,8,11,7,4,5,5,5,6,10,8,1,5,7,9,10,9,7,7,3,3,3,4,4
Victoria,Australia,-37.8136,144.9631,8,10,10,7,9,11,15,13,15,14,10,10,11,14,14,12,11,14,16,16,11,10,12,8,12,14,11,12,12,5,9,19,11,7,6,9,13,17,15,14,16,18,18,18,19,17,15,15,16,12,10,10,9,14,16,16,9,7,11,12,12,9,9,13,16,12,11,11,10,10,12,11,10,5,9,8,10,10,12,11,9,9,7,7,8,10
Western Australia,Australia,-31.9505,115.8605,13,13,7,2,6,10,12,14,11,5,8,13,13,16,16,17,17,12,11,13,14,13,15,13,15,16,14,15,16,12,8,9,8,10,10,14,19,18,17,9,7,13,17,17,17,19,15,12,11,15,14,11,17,17,18,19,19,19,19,19,15,9,10,8,10,17,17,17,15,11,13,15,13,17,19,16,15,11,10,12,16,15,13,10,11,14
,Austria,47.5162,14.5501,-8,-7,-5,0,-3,-10,-5,-5,0,0,-1,-8,-11,-10,-9,-2,-1,-1,-3,-5,-9,-9,-7,-6,-3,0,-1,-1,-5,-3,3,2,4,2,0,-4,-9,-10,-6,-5,-1,-1,-4,-4,0,-2,-3,0,-1,-2,-3,-5,-6,1,2,1,-1,-5,-5,-6,0,0,0,-3,-5,0,-1,-3,-1,0,4,3,0,-1,-5,-5,0,3,3,5,2,-6,-11,-9,-8,-5
,Azerbaijan,40.1431,47.5769,0,1,2,2,0,-1,0,-2,0,0,0,-2,0,-3,0,2,0,-2,0,0,-2,-3,-4,-7,-6,-9,-5,-6,-5,-4,-3,2,-1,-3,-4,-1,-1,-2,2,-6,-8,-8,-11,-6,-5,-2,-4,1,-2,-2,2,4,5,5,4,-3,-2,-3,-4,1,2,3,4,5,6,6,4,3,3,4,5,6,6,6,9,5,2,1,3,4,6,5,4,4,4,2
,Bahamas,25.0343,-77.3963,21,19,19,21,22,15,13,14,14,16,20,21,20,20,18,17,17,18,15,17,18,15,13,16,17,17,16,16,18,18,19,18,21,13,12,15,18,21,21,19,19,20,21,21,20,20,20,19,19,20,21,20,20,16,13,15,19,21,18,13,9,10,14,18,21,22,21,13,11,14,16,17,18,20,20,18,18,18,18,19,19,18,18,18,18,20
,Bahrain,26.0275,50.55,14,12,15,14,14,11,11,11,13,15,8,6,4,5,10,10,11,13,12,13,11,12,9,7,7,5,7,8,8,8,9,11,9,8,8,11,12,10,12,14,10,6,3,6,9,11,11,13,13,12,13,13,13,15,15,16,12,10,12,12,13,13,10,10,11,11,11,12,13,13,14,13,12,14,14,16,16,17,17,16,17,15,8,10,11,14
,Bangladesh,23.685,90.3563,13,15,15,15,15,10,10,12,13,13,13,13,12,13,13,14,15,14,14,13,10,10,11,8,9,10,10,11,13,15,14,9,7,5,7,8,9,8,7,9,7,9,8,8,11,14,13,13,12,12,13,13,12,12,15,16,16,14,12,12,13,15,15,16,16,17,17,17,14,10,11,14,16,15,15,15,13,12,11,12,12,17,16,15,15,15
,Barbados,13.1939,-59.5432,20,20,19,19,19,19,20,19,20,20,19,20,19,19,20,19,19,20,20,19,20,19,20,20,21,20,19,19,20,20,20,21,20,19,19,18,20,19,19,19,19,19,20,20,19,19,19,19,20,20,20,18,18,19,21,20,20,19,19,19,18,19,18,19,18,18,18,19,18,19,19,18,19,19,21,20,19,19,19,19,20,20,20,19,19,19
,Belarus,53.7098,27.9534,-3,0,-4,-1,-3,-5,-2,-3,0,0,0,-2,0,0,-1,0,-2,-4,-3,-2,-1,0,-4,-2,0,-1,-2,-2,0,-1,0,0,4,-1,-3,-10,-5,-12,-6,-4,-2,0,0,0,-1,-3,-3,1,1,0,0,-1,-1,0,-2,-2,1,0,-3,-2,0,1,2,4,3,0,2,2,0,1,1,1,-1,-4,-8,-8,0,0,2,-2,-1,-8,-10,-10,-9,-7
,Belgium,50.8333,4.0,-1,1,6,2,2,0,3,9,9,5,1,3,4,6,5,4,5,1,0,0,-3,-2,-1,-3,-2,2,6,2,1,4,8,8,7,7,2,1,0,-1,5,6,4,0,0,3,3,6,8,4,3,2,5,1,3,7,5,4,1,0,0,5,2,3,1,2,5,4,1,5,3,8,10,4,2,3,6,5,1,4,4,3,0,-3,-5,-7,-8,-5
,Benin,9.3077,2.3158,-7,-7,-9,-3,1,5,5,6,5,10,18,17,9,-1,0,1,0,0,1,5,7,3,-2,-9,-14,-12,-8,-5,-9,-18,-14,-10,-13,-14,-11,-8,-7,-6,-6,-1,3,-5,-10,-6,-6,-9,-9,-7,3,-2,2,0,1,-2,-8,-7,-1,10,14,9,18,20,20,17,7,15,15,18,19,20,15,14,20,19,13,11,16,18,20,20,22,21,21,22,20,19
,Bhutan,27.5142,90.4336,-10,-1,0,0,-3,-11,-3,0,0,-4,-7,-7,-2,-1,0,-1,1,1,-3,-4,-4,-2,-3,-6,-15,-6,-2,-1,-1,0,-1,0,-3,-3,-1,0,-3,-3,-3,-5,-7,0,0,0,2,3,3,4,4,4,5,3,3,1,1,0,2,-1,-4,0,3,4,3,3,2,1,2,1,2,4,5,4,2,5,4,0,2,4,4,4,4,3,4,4,4,6
,Bolivia,-16.2902,-63.5887,23,23,22,22,22,22,22,23,23,22,22,23,23,23,23,22,22,22,23,23,22,23,23,21,20,21,22,23,22,23,22,20,22,22,22,23,22,23,22,24,23,23,22,22,23,23,23,23,23,23,23,24,21,13,13,17,23,22,19,17,15,15,16,18,18,19,20,20,20,21,22,20,21,21,22,24,23,23,23,22,20,19,21,22,24,23
,Bosnia and Herzegovina,43.9159,17.6791,-7,-10,-10,-8,-8,-11,-12,-8,-10,-7,-3,-5,-4,-3,-5,-6,-7,-8,-6,-8,-10,-13,-9,-11,-1,-1,-1,0,-1,-7,-3,0,2,2,0,-6,-12,-8,-6,-5,0,1,-2,-6,-1,-3,-4,-6,-2,-2,-6,-8,-11,-8,0,0,0,-6,-5,-6,-1,1,1,-2,-4,0,-2,-3,-2,-3,0,0,2,-1,-4,-5,-8,-3,-7,-5,-5,-2,-11,-9,-8,-3
,Brazil,-14.235,-51.9253,23,21,21,22,22,22,22,22,22,22,21,22,22,21,21,22,22,21,21,21,22,23,23,23,23,23,22,23,22,22,21,22,22,22,22,22,22,21,22,21,21,21,21,22,22,22,22,22,22,23,22,22,22,22,21,22,23,23,22,23,22,22,23,23,23,23,23,22,22,23,22,22,22,22,22,22,21,21,22,23,23,22,22,23,23,22
,Brunei,4.5353,114.7277,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,24,23,23,22,22,24,25,25,25,25,24,22,23,24,24,25,23,22,23,23,23,23,22,23,24,24,24,25,23,23,23,23,22,22,22,23,23,25,24,25,25,25,25,25,24,23,23,23,23,24,24,24,25,24,25,23,24,23,23,23,24,23,24,25,25,25,25
,Bulgaria,42.7339,25.4858,-5,-6,-5,-4,-3,-6,-9,-9,-7,-3,0,-1,-1,-1,-1,-2,-4,-5,-5,-6,-6,-9,-8,-7,-9,-1,1,0,-1,-4,-6,2,3,1,2,-2,-8,-6,-11,-6,-2,0,-3,-4,-1,0,-2,0,0,1,0,-1,-2,-3,-2,-2,1,0,-4,-3,-1,1,5,5,1,1,3,6,4,2,2,4,4,3,-1,-9,-6,-3,-2,0,3,2,-2,-3,-3,0
,Burkina Faso,12.2383,-1.5616,-13,-11,-16,-12,-7,-3,-1,0,-1,0,-3,-3,-13,-13,-9,-4,-6,-10,-6,-2,1,2,-7,-14,-16,-16,-17,-17,-20,-19,-13,-12,-14,-16,-16,-15,-14,-18,-16,-9,-7,-14,-18,-18,-18,-16,-15,-14,-10,-7,-8,-9,-10,-8,-12,-15,-12,-10,-11,-13,-12,-11,-10,-10,-14,-18,-13,-8,-14,-17,-18,-19,-8,-3,2,1,6,16,14,14,5,-1,9,18,8,-2
,Cabo Verde,16.5388,-23.0418,18,17,17,17,17,16,15,15,14,14,14,14,15,16,16,17,16,16,16,17,17,17,17,18,18,18,18,18,17,17,18,18,18,17,17,17,18,18,18,18,18,17,17,17,18,18,18,18,18,19,18,18,18,17,16,17,18,19,18,18,18,18,18,19,19,19,19,19,18,18,18,19,19,18,18,18,17,16,16,16,16,17,17,16,15,16
,Cambodia,11.55,104.9167,18,19,19,18,16,17,19,21,19,20,21,22,19,16,18,18,18,20,19,19,19,19,19,18,20,20,20,19,20,21,19,18,15,15,17,16,16,15,17,17,17,19,20,20,20,21,20,22,18,15,15,16,16,14,14,16,18,18,17,18,20,21,20,21,21,21,21,22,22,22,22,20,21,20,20,20,19,19,20,19,18,19,20,20,21,20
,Cameroon,3.848,11.5021,19,17,12,11,13,16,15,17,19,19,20,19,18,18,21,19,18,19,19,17,16,13,12,7,4,4,13,17,17,18,20,18,18,20,20,20,19,15,17,20,16,14,17,15,15,16,19,21,20,16,17,19,19,20,19,19,20,20,21,20,21,21,20,21,22,22,21,20,21,21,22,21,21,20,19,21,21,21,21,21,20,20,20,21,21,21
Alberta,Canada,53.9333,-116.5765,-4,-4,-14,-11,-9,-11,-13,-15,-21,-25,-25,-29,-35,-37,-40,-41,-37,-35,-33,-16,-5,-8,-6,-7,-4,-5,-10,-7,-10,-8,-8,-6,-6,-13,-17,-13,-7,-8,-11,-11,-9,-9,-6,-14,-7,-13,-11,-13,-22,-17,-12,-11,-7,-10,-14,-14,-11,-7,-5,-6,-7,-10,-7,-7,-10,-10,-13,-17,-16,-14,-9,-7,-13,-25,-25,-22,-12,-10,-12,-12,-12,-8,-8,-6,-11,-13
British Columbia,Canada,49.2827,-123.1207,6,6,1,6,3,3,3,7,0,0,1,1,0,-9,-11,-7,-2,-2,1,5,5,5,5,7,7,5,6,5,5,6,4,7,3,0,0,0,1,3,3,2,0,0,3,3,3,2,4,1,0,0,-1,0,0,3,4,0,1,4,5,4,2,1,3,5,1,3,0,0,0,0,1,3,0,-3,-12,-9,-2,0,1,2,3,3,3,3,3,2
Grand Princess,Canada,37.6489,-122.6655,8,10,9,9,9,7,6,7,8,8,7,8,7,8,6,6,7,5,5,5,8,10,9,9,11,12,11,10,10,9,11,10,10,6,2,0,6,8,8,7,2,5,7,8,7,7,8,9,8,6,7,8,8,8,8,8,8,8,9,9,7,4,3,8,9,9,8,7,6,8,8,10,9,9,7,5,5,5,6,7,7,8,10,8,7,5
Manitoba,Canada,53.7609,-98.8139,-13,-13,-15,-11,-13,-14,-19,-26,-29,-21,-27,-27,-17,-16,-23,-31,-33,-23,-22,-26,-21,-11,-13,-19,-13,-11,-12,-14,-14,-13,-11,-6,-8,-13,-24,-23,-25,-32,-25,-19,-15,-15,-16,-34,-29,-18,-26,-28,-23,-28,-27,-14,-8,-6,-3,-14,-21,-24,-18,-14,-7,-8,-14,-12,-10,-8,-6,-17,-23,-22,-24,-10,-8,-17,-22,-19,-13,-22,-26,-24,-23,-20,-9,-9,-7,-14
New Brunswick,Canada,46.5653,-66.4619,-6,-5,-6,-3,-2,-7,-14,-11,-11,-16,-12,0,-9,-15,-13,-10,-10,-22,-24,-15,-16,-22,-15,-7,-8,-9,-3,-3,-10,-16,-17,-14,-12,-8,-7,-7,-14,-14,-9,-16,-20,-9,-8,-6,-8,-24,-23,-10,-12,-19,-9,-25,-23,-11,-6,-4,-3,-4,-6,-8,-13,-11,-10,0,0,-7,-12,-14,-11,-9,-9,-7,-11,-7,-4,-12,-14,-7,-8,-9,0,-9,-18,-15,-3,-6
Newfoundland and Labrador,Canada,53.1355,-57.6604,-18,-10,-2,-4,-10,-15,-21,-25,-19,-22,-26,-16,-25,-27,-26,-24,-26,-31,-29,-29,-27,-28,-21,-11,-23,-21,-13,-16,-19,-19,-20,-19,-20,-16,-7,-11,-17,-22,-23,-24,-26,-18,-19,-16,-20,-30,-28,-16,-18,-25,-13,-27,-26,-15,-14,-19,-12,-22,-25,-18,-10,-15,-16,-9,-8,-5,-13,-18,-20,-30,-26,-19,-16,-14,-7,-13,-21,-14,-9,-19,-12,-8,-18,-14,-8,-10
Nova Scotia,Canada,44.682,-63.7443,-2,0,-3,0,0,-2,-9,-5,-4,-9,-7,4,0,-7,-4,-4,-6,-14,-17,-5,-7,-16,-14,-4,-4,-5,1,0,-5,-10,-13,-10,-5,-4,-6,-3,-7,-9,0,-9,-14,-3,-2,-3,-1,-15,-16,-3,-2,-12,-1,-16,-19,-7,-4,-1,0,0,-1,-4,-4,-4,-5,2,1,-5,-9,-10,-9,-3,-2,0,-5,-1,-1,-9,-11,-6,-4,-5,4,-3,-17,-11,-1,-4
Ontario,Canada,51.2538,-85.3232,-15,-21,-12,-15,-16,-19,-17,-18,-30,-25,-17,-30,-31,-29,-16,-24,-29,-29,-17,-22,-19,-12,-7,-18,-18,-9,-9,-12,-16,-19,-19,-10,-4,-6,-10,-21,-19,-32,-36,-27,-16,-14,-12,-30,-36,-28,-11,-25,-22,-19,-29,-22,-10,-6,-12,-13,-17,-24,-24,-23,-22,-11,-7,-9,-12,-20,-20,-11,-26,-23,-21,-17,-8,-6,-19,-22,-7,-13,-18,-14,-21,-20,-15,-3,-5,-6
Prince Edward Island,Canada,46.5107,-63.4168,-3,-1,-3,-1,-1,-2,-7,-6,-4,-8,-7,1,-4,-8,-7,-5,-7,-11,-16,-8,-8,-17,-14,-4,-6,-8,0,0,-3,-10,-11,-11,-8,-3,-6,-4,-8,-10,-3,-10,-16,-4,-6,-3,-5,-18,-18,-5,-6,-12,-3,-20,-19,-8,-4,-2,-1,-3,-3,-4,-6,-2,-5,0,0,-2,-7,-8,-7,-9,-6,-3,-8,-5,-1,-8,-8,-5,-4,-6,2,-4,-12,-8,-3,-3
Quebec,Canada,52.9399,-73.5491,-11,-12,-13,-10,-18,-22,-23,-19,-21,-33,-18,-24,-33,-30,-28,-22,-33,-36,-33,-31,-26,-21,-11,-16,-24,-17,-7,-20,-27,-28,-24,-19,-14,-10,-10,-16,-26,-25,-35,-34,-21,-22,-13,-20,-37,-39,-22,-20,-32,-19,-28,-33,-18,-10,-21,-10,-18,-26,-22,-16,-19,-21,-12,-13,-17,-22,-25,-21,-30,-33,-21,-23,-24,-14,-14,-26,-23,-11,-22,-23,-15,-28,-25,-14,-8,-9
Saskatchewan,Canada,52.9399,-106.4509,-13,-8,-7,-11,-9,-13,-15,-30,-23,-25,-34,-24,-23,-32,-37,-39,-39,-26,-25,-30,-20,-8,-10,-9,-10,-6,-9,-10,-7,-9,-8,-7,-7,-12,-24,-20,-18,-23,-13,-12,-13,-11,-12,-35,-30,-13,-27,-20,-23,-31,-30,-15,-9,-7,-10,-14,-18,-15,-10,-7,-5,-13,-4,-9,-6,-6,-4,-15,-21,-20,-13,-6,-13,-22,-21,-16,-16,-16,-23,-21,-18,-13,-9,-8,-7,-10
,Central African Republic,6.6111,20.9394,-3,-1,0,2,3,3,5,4,1,0,-5,-8,-10,-6,-1,-1,-2,-3,-2,-3,-7,-7,-10,-10,-9,-4,-1,-4,-7,-6,-7,-6,-2,0,-1,1,4,0,1,0,0,-3,-5,-3,-3,-2,-1,7,14,16,13,0,-1,-4,-5,5,0,-1,-1,0,0,10,13,2,6,7,15,16,15,16,15,14,11,1,9,11,5,15,16,14,18,18,17,18,18,18
,Chad,15.4542,18.7322,-7,-12,-6,-5,-8,-12,-13,-9,-8,-13,-13,-18,-15,-16,-12,-5,-4,0,-6,-9,-14,-12,-15,-16,-16,-16,-18,-20,-25,-16,-19,-17,-19,-16,-19,-16,-15,-16,-6,-13,-17,-11,-18,-20,-23,-19,-13,-7,-8,-6,-10,-10,-15,-12,-9,-12,-15,-15,-13,-16,-17,-15,-12,-12,-15,-14,-13,-13,-12,-8,-14,-15,-7,-11,-15,-15,-18,-19,-14,-17,-15,-13,-11,-7,-10,-5
,Chile,-35.6751,-71.543,6,7,11,11,9,5,5,7,8,7,4,4,8,9,10,3,2,6,8,11,9,7,11,14,7,4,12,8,12,7,4,3,12,6,5,8,5,5,3,3,6,10,12,10,3,1,8,9,10,0,5,4,9,11,11,7,3,2,6,8,9,12,13,11,6,6,7,11,6,3,4,8,7,11,3,3,5,7,5,5,4,9,9,7,8,8
Anhui,China,31.8257,117.2264,-2,3,4,5,7,7,2,0,0,2,2,0,0,-2,-1,1,0,0,0,0,2,3,5,3,1,1,0,0,0,0,-1,0,0,1,2,2,1,2,2,1,3,7,6,10,13,0,-5,-5,-3,0,2,4,0,4,11,12,6,3,5,6,5,1,3,2,0,5,8,9,8,6,4,8,7,3,2,5,7,8,1,7,14,12,5,8,15,18
Beijing,China,40.1824,116.4142,-23,-15,-12,-11,-7,-3,-12,-15,-12,-11,-14,-13,-19,-18,-17,-16,-14,-10,-15,-17,-15,-12,-10,-11,-10,-9,-7,-6,-6,-9,-11,-18,-9,-17,-17,-13,-9,-9,-9,-7,-6,-4,-2,0,-1,-16,-17,-12,-7,-4,-2,-9,-15,-12,-5,-4,-6,-6,-6,0,-10,-10,-14,-19,-13,-3,-3,2,2,-18,-13,-13,-24,-17,-9,-6,-9,-12,-23,-13,-8,-10,-12,-4,5,-5
Chongqing,China,30.0572,107.874,4,5,6,6,7,8,7,7,6,6,5,4,3,4,4,5,4,4,6,5,6,7,8,7,6,5,3,4,4,4,4,6,6,6,4,5,8,7,7,8,8,8,8,10,11,5,4,3,4,6,5,8,7,8,9,10,12,13,13,11,11,8,8,8,6,8,9,11,11,8,9,9,11,11,10,9,11,10,10,10,15,16,16,16,17,17
Fujian,China,26.0789,117.9874,7,8,10,12,12,12,12,5,7,10,9,4,4,6,7,8,4,4,5,5,7,11,13,15,12,9,2,1,0,-1,-2,0,4,6,8,8,7,8,7,5,5,9,14,14,13,15,3,-1,-1,1,4,8,10,7,9,12,13,12,12,13,14,11,12,11,8,10,15,15,16,10,9,10,14,11,6,8,10,13,14,14,16,18,18,15,16,17
Gansu,China,37.8099,101.0583,-19,-22,-20,-19,-17,-17,-21,-21,-17,-18,-24,-23,-21,-17,-15,-20,-21,-22,-23,-22,-23,-26,-23,-22,-23,-25,-26,-25,-27,-26,-24,-20,-26,-29,-26,-26,-25,-24,-24,-24,-24,-24,-22,-20,-25,-29,-26,-22,-23,-22,-21,-20,-19,-18,-17,-19,-15,-12,-17,-15,-12,-16,-18,-20,-18,-21,-17,-15,-19,-24,-22,-17,-22,-20,-15,-14,-15,-15,-15,-14,-10,-11,-11,-13,-13,-11
Guangdong,China,23.3417,113.4244,10,13,13,13,13,15,16,10,12,14,12,5,7,9,10,13,6,6,7,7,11,15,17,17,12,8,3,2,1,-2,-4,1,8,11,11,12,12,13,9,7,8,13,17,16,18,17,5,0,0,5,10,11,13,14,14,17,17,17,15,16,18,15,16,13,12,14,18,20,21,13,11,17,20,13,9,13,17,18,18,19,20,20,20,19,18,20
Guangxi,China,23.8298,108.7881,10,15,16,14,14,16,16,15,16,16,4,4,6,7,8,6,4,5,4,7,11,17,18,12,6,4,2,2,3,1,2,6,9,8,8,9,12,9,7,6,8,14,18,18,19,15,3,2,2,7,11,13,12,14,15,16,17,18,18,18,19,16,14,8,9,15,20,20,19,11,11,14,16,11,12,14,13,13,15,17,21,21,21,21,20,21
Guizhou,China,26.8154,106.8748,9,7,3,6,12,11,4,10,4,0,0,0,2,0,0,0,0,0,0,3,8,7,3,2,0,-1,-1,-1,0,0,0,3,3,2,2,4,4,2,2,2,4,7,9,10,10,4,-1,0,0,3,5,3,6,9,10,11,13,12,11,12,9,8,4,4,5,10,10,11,8,5,7,9,9,6,7,9,7,7,6,10,11,12,14,14,13,13
Hainan,China,19.1959,109.7453,16,16,16,16,15,15,16,15,15,15,15,15,14,14,13,13,15,15,15,15,14,15,15,16,14,12,11,10,9,7,8,11,13,14,14,15,15,15,15,13,13,15,16,18,18,18,13,9,10,13,14,15,13,13,15,15,17,16,17,17,17,17,16,16,15,18,18,17,16,19,18,19,19,19,17,19,18,18,19,19,17,17,18,18,18,19
