Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
Northern Territory,Australia,-12.4634,130.8456,34,34,33,33,33,32,32,34,31,28,28,32,32,34,34,34,32,33,32,31,31,29,31,31,32,33,33,33,33,32,33,33,32,32,32,32,33,34,33,34,33,32,33,33,33,34,33,34,34,33,32,33,34,33,33,33,31,31,32,32,33,32,32,32,33,33,32,30,28,32,32,33,33,34,34,33,33,31,33,33,33,33,33,31,31,32
Queensland,Australia,-28.0167,153.4,29,30,29,30,31,30,29,30,29,30,30,25,27,27,28,28,28,26,28,31,33,32,30,31,29,28,29,29,31,29,30,31,32,33,25,25,23,26,27,27,29,28,27,26,29,30,30,30,30,32,30,28,27,27,26,27,28,29,29,28,30,32,30,28,29,30,29,27,23,24,26,25,26,27,26,26,26,26,27,28,30,30,28,26,26,27
South Australia,Australia,-34.9285,138.6007,25,29,38,23,18,25,29,32,37,23,23,27,31,30,25,23,22,24,22,21,25,24,19,23,24,25,25,28,35,40,34,22,23,21,24,26,28,29,31,29,29,27,24,28,23,24,24,27,21,22,22,24,25,30,30,26,21,20,23,26,27,21,20,24,22,22,24,24,25,28,30,30,22,21,23,27,30,31,28,23,21,22,22,20,21,22
Tasmania,Australia,-41.4545,145.9707,14,19,21,18,17,19,19,22,19,16,9,20,17,22,20,14,17,16,16,14,18,17,8,12,14,13,16,13,20,28,27,18,10,8,15,19,17,21,20,17,15,17,21,21,16,18,18,16,13,16,13,11,16,19,17,20,7,10,12,17,13,9,17,13,13,15,14,13,14,14,15,17,11,9,13,11,15,14,16,10,13,8,13,14,10,11
Victoria,Australia,-37.8136,144.9631,25,26,32,28,17,20,23,25,31,33,18,21,31,32,34,19,24,28,28,21,23,31,21,23,26,24,23,25,29,38,41,31,23,17,20,21,26,26,29,27,24,26,26,30,31,21,25,27,21,18,18,19,23,30,26,31,18,21,21,24,31,18,21,25,19,18,20,21,21,23,28,29,28,17,20,26,28,28,31,22,18,18,19,19,18,21
Western Australia,Australia,-31.9505,115.8605,28,24,21,26,32,31,29,27,26,31,33,30,33,33,33,31,27,30,29,28,24,24,27,29,31,32,36,32,27,22,22,27,33,37,39,33,28,27,27,26,31,32,31,33,36,26,25,30,32,34,32,30,29,30,30,32,29,29,29,26,28,29,31,32,30,25,25,29,32,33,33,29,32,28,26,25,23,22,25,29,30,31,31,32,32,34
,Austria,47.5162,14.5501,2,6,6,2,-1,2,2,4,8,6,1,5,5,6,7,7,5,2,0,2,8,6,5,8,6,6,6,5,2,5,7,9,8,3,3,-2,1,2,6,6,5,4,3,5,1,6,8,10,5,5,4,3,10,9,5,12,0,3,0,5,6,7,4,3,4,5,3,6,5,6,9,14,6,6,8,13,12,14,16,16,5,1,0,1,2,3
,Azerbaijan,40.1431,47.5769,13,12,6,8,11,10,10,10,9,9,8,10,11,11,8,8,8,9,4,7,8,12,13,9,9,14,11,11,14,18,17,5,12,15,18,15,22,25,15,5,5,5,10,12,13,10,12,9,12,15,12,16,10,18,15,17,13,16,23,19,18,9,17,18,20,19,18,18,18,18,21,26,21,21,18,13,9,9,13,14,10,14,18,20,20,19
,Bahamas,25.0343,-77.3963,26,25,26,27,27,23,23,23,24,25,25,26,26,26,26,26,25,25,24,25,25,23,20,23,24,24,24,24,25,25,26,25,27,22,23,24,26,26,27,24,25,26,26,26,27,27,25,26,26,27,27,27,27,23,22,24,26,26,25,21,21,22,23,25,26,26,27,23,21,23,24,25,25,25,26,25,25,25,26,26,26,26,26,26,26,26
,Bahrain,26.0275,50.55,21,22,24,26,18,19,20,20,20,20,17,17,18,18,19,19,20,21,21,21,21,22,15,17,19,15,17,18,18,20,19,20,19,18,18,20,21,23,25,20,19,16,13,17,19,20,20,23,22,23,22,21,22,23,25,27,22,21,21,21,24,21,21,22,22,22,25,24,23,23,23,24,25,26,27,25,26,27,24,25,24,22,22,23,24,25
,Bangladesh,23.685,90.3563,27,27,20,24,22,24,23,24,20,24,23,23,24,24,25,27,28,28,27,25,24,25,24,24,24,24,23,25,25,23,25,26,24,24,25,26,25,26,27,27,27,27,27,27,27,29,28,28,29,29,29,30,30,31,30,24,25,27,29,30,31,31,30,30,30,29,26,30,29,30,32,33,34,34,33,33,32,32,33,33,34,29,31,32,33,34
,Barbados,13.1939,-59.5432,26,26,26,26,26,25,25,26,26,25,26,24,25,25,26,25,26,26,25,25,26,26,24,25,26,26,25,26,26,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,25,25,26,26,25,25,25,25,26,26,26,26,26,25,25,25,24,25,26,26,26,25,26,26,26,25,26,26,25,24,25,25,26,26,26,25,25,25,26,26,26
,Belarus,53.7098,27.9534,0,2,2,3,1,0,0,0,2,2,5,2,3,3,5,5,2,0,1,1,3,4,1,3,5,3,1,2,1,2,1,4,7,3,1,0,4,-2,1,2,3,3,2,3,3,4,5,10,9,6,6,5,6,5,4,5,7,4,3,4,5,7,9,9,6,5,7,9,8,8,7,11,9,2,3,8,7,13,9,10,3,1,2,5,10,13
,Belgium,50.8333,4.0,5,6,10,8,8,7,8,11,13,8,8,10,9,11,12,12,10,8,8,7,4,4,6,4,5,9,9,6,9,11,13,11,12,12,7,9,9,10,11,13,9,8,8,10,10,13,17,10,9,8,11,9,12,13,12,9,6,4,6,10,10,8,8,10,7,7,11,9,10,12,13,10,11,10,12,13,15,17,13,9,11,11,12,14,13,12
,Benin,9.3077,2.3158,34,32,31,33,35,35,35,36,37,36,35,36,38,36,37,36,36,36,34,35,36,37,35,35,35,36,36,36,37,37,37,36,36,36,37,36,36,37,37,37,37,36,35,36,37,37,38,38,38,38,38,38,39,39,39,37,39,39,39,40,39,37,38,38,40,38,39,38,38,39,39,41,38,37,38,39,38,39,39,38,37,38,36,29,34,35
,Bhutan,27.5142,90.4336,11,10,7,7,5,13,11,10,10,11,14,16,15,14,14,15,12,13,10,10,11,12,7,10,12,9,7,7,11,8,10,11,9,8,8,7,8,11,11,10,12,12,15,16,10,12,14,12,14,11,12,14,10,11,10,11,7,13,16,16,13,11,11,8,11,11,11,14,16,13,12,17,17,11,13,14,14,12,12,12,12,13,12,16,16,18
,Bolivia,-16.2902,-63.5887,28,30,32,33,33,33,30,26,31,31,33,31,33,29,29,32,36,33,34,34,35,34,28,34,34,36,37,36,31,28,30,30,30,32,31,30,32,30,32,30,28,28,27,30,31,33,34,32,34,35,31,28,28,25,26,31,30,26,32,33,34,35,36,35,36,36,35,36,36,36,34,36,31,37,35,34,27,30,31,32,26,28,32,32,32,32
,Bosnia and Herzegovina,43.9159,17.6791,-1,1,5,1,-6,-6,0,-1,3,4,1,-1,2,2,4,4,5,3,-3,-4,2,5,1,5,4,2,3,3,3,1,4,6,6,7,5,-3,-3,0,3,4,3,6,2,5,1,3,8,11,4,3,0,4,4,10,6,10,6,0,-1,2,2,5,4,0,6,3,-1,0,3,4,10,15,14,2,3,11,13,11,14,15,13,0,-6,-5,-2,1
,Brazil,-14.235,-51.9253,31,33,30,30,26,25,28,30,31,29,33,32,32,31,33,34,35,34,34,35,33,32,27,26,27,28,29,27,28,29,29,34,33,32,33,29,31,29,26,27,25,25,33,32,32,34,28,32,33,32,31,30,29,31,33,29,31,31,32,31,25,30,29,30,31,30,27,30,31,28,30,26,29,32,29,31,31,32,33,33,28,30,30,30,30,30
,Brunei,4.5353,114.7277,33,32,29,30,32,33,33,33,31,31,28,28,29,27,31,30,31,32,31,33,33,33,33,33,32,32,30,32,29,29,32,31,32,32,30,30,32,32,33,33,32,32,34,34,34,34,31,30,33,33,33,34,34,35,32,35,30,30,31,33,33,32,30,28,25,30,32,32,30,29,34,34,36,35,33,33,33,34,35,32,32,33,32,32,33,33
,Bulgaria,42.7339,25.4858,-1,-2,3,5,-2,-4,-4,-2,2,6,7,1,4,5,6,4,1,1,-1,-2,1,6,0,3,8,8,6,6,4,1,6,9,11,11,8,-2,-5,-1,-4,1,3,5,2,2,3,1,4,7,10,4,0,2,0,7,8,10,11,8,4,1,7,13,12,9,3,7,11,9,9,4,8,13,17,8,0,1,9,6,8,12,14,9,0,-1,0,4
,Burkina Faso,12.2383,-1.5616,32,29,28,29,31,32,33,34,36,37,36,36,34,33,34,36,34,33,33,34,36,36,36,35,36,35,35,35,36,37,37,36,35,35,35,34,34,35,35,36,36,35,35,34,36,36,37,38,38,38,38,38,39,39,38,36,37,38,38,39,40,40,40,40,40,41,40,40,40,39,40,41,40,40,40,40,41,39,41,39,40,41,39,37,37,38
,Cabo Verde,16.5388,-23.0418,24,23,23,23,23,22,22,21,22,21,22,21,22,21,22,22,22,22,22,23,22,22,22,22,22,24,22,23,23,22,23,24,24,23,23,22,22,23,23,23,23,22,23,23,23,23,23,23,22,23,23,22,22,21,21,21,23,25,24,24,23,23,23,23,23,23,23,22,23,22,23,23,25,24,24,23,22,22,22,22,22,22,22,22,22,22
,Cambodia,11.55,104.9167,34,34,34,33,33,34,33,34,34,35,33,33,33,33,33,34,34,33,33,34,34,35,34,34,34,34,34,34,33,29,31,33,33,34,34,34,34,35,34,32,31,35,35,36,36,36,36,34,35,35,35,35,35,35,35,35,36,35,35,35,36,35,36,35,34,34,36,37,37,38,36,37,37,37,37,37,37,36,36,36,37,36,37,36,35,37
,Cameroon,3.848,11.5021,32,32,32,31,32,32,33,33,33,31,29,31,33,34,32,33,32,32,31,33,33,33,33,32,33,33,33,33,33,32,32,33,33,30,31,28,29,33,35,32,33,35,34,34,34,35,34,31,31,34,35,34,36,35,35,35,33,34,34,35,32,31,33,30,32,31,28,32,32,32,30,30,31,32,33,32,33,34,32,26,31,31,32,28,28,29
Alberta,Canada,53.9333,-116.5765,2,0,-6,-4,-1,0,-6,-8,-15,-16,-15,-20,-27,-29,-29,-29,-26,-25,-19,0,5,0,0,2,3,2,-1,1,-1,2,1,0,2,-6,-9,-2,0,-1,-2,-3,0,0,0,-6,0,-8,0,-6,-15,-3,3,2,3,-1,-2,-2,0,2,4,2,-1,0,0,0,-1,1,-9,-11,-3,0,2,-2,-7,-17,-15,-3,3,-4,-4,-4,3,0,3,-1,-5,0
British Columbia,Canada,49.2827,-123.1207,8,10,6,11,7,7,5,9,6,4,4,6,4,-2,-3,-1,3,3,5,7,8,8,7,9,10,9,10,8,9,9,8,11,9,5,5,1,5,6,7,8,5,7,8,8,7,9,7,7,7,7,8,9,10,7,8,8,6,8,9,8,9,7,5,8,9,8,8,7,7,8,6,10,8,8,5,8,11,12,12,13,13,12,11,10,9,11
Grand Princess,Canada,37.6489,-122.6655,13,13,14,13,12,13,12,12,12,12,11,12,12,12,11,11,11,11,11,11,12,12,13,12,13,13,13,12,13,13,13,14,13,11,12,12,12,13,12,12,15,14,15,12,10,11,12,12,14,13,12,13,14,11,12,13,14,14,15,13,11,13,15,14,14,12,11,11,12,14,15,14,13,12,11,10,10,11,11,12,14,14,15,12,12,11
Manitoba,Canada,53.7609,-98.8139,-8,-9,-10,-6,-8,-9,-11,-19,-18,-14,-19,-17,-12,-10,-17,-23,-24,-15,-16,-16,-11,-4,-8,-11,-8,-6,-8,-9,-9,-8,-7,0,-2,-5,-16,-11,-17,-21,-14,-10,-7,-6,-4,-20,-17,-8,-19,-17,-14,-18,-14,-1,0,1,0,-8,-12,-14,-10,-3,-1,-3,-6,-5,-4,0,1,-13,-14,-12,-12,-1,-4,-9,-12,-8,-4,-11,-11,-10,-7,-8,0,-1,-1,-3
New Brunswick,Canada,46.5653,-66.4619,-2,0,0,2,2,0,-6,-3,-4,-8,0,8,-5,-7,-6,-2,-2,-13,-11,-5,-7,-9,-3,2,0,-1,0,0,-2,-7,-3,-1,-1,0,1,0,-5,-5,-4,-8,-7,0,0,0,0,-14,-9,0,-1,-7,0,-13,-6,0,4,5,5,3,-3,-2,-1,-1,0,6,1,0,0,-1,2,-1,-2,0,1,2,1,-2,-1,0,0,5,5,-1,-3,1,3,6
Newfoundland and Labrador,Canada,53.1355,-57.6604,-7,-3,0,0,-3,-9,-13,-14,-11,-13,-16,-9,-16,-17,-15,-14,-16,-20,-19,-18,-15,-19,-12,-4,-16,-12,-5,-9,-10,-12,-11,-11,-8,-8,-2,-5,-9,-13,-14,-15,-15,-9,-10,-7,-8,-18,-18,-8,-10,-14,-7,-21,-14,-7,-7,-9,-4,-11,-13,-9,-5,-6,-6,-2,0,0,-8,-8,-5,-19,-12,-9,-7,-2,-2,-6,-8,-3,-1,-9,-1,-3,-8,-2,0,0
Nova Scotia,Canada,44.682,-63.7443,3,3,3,5,4,0,-3,2,0,-3,3,9,2,-1,0,1,0,-7,-8,1,-2,-7,-3,3,2,0,6,4,-1,-2,-5,3,1,0,2,3,1,-2,9,-2,-3,4,1,2,1,-9,-4,2,4,-3,5,-7,-3,3,5,5,5,6,1,1,2,0,2,7,6,3,4,-3,3,6,3,4,4,3,7,2,0,2,5,5,7,6,-1,0,5,8
Ontario,Canada,51.2538,-85.3232,-9,-12,-5,-9,-7,-11,-11,-9,-21,-12,-9,-19,-19,-16,-6,-17,-17,-16,-9,-12,-8,-4,-1,-9,-7,-3,-5,-5,-8,-8,-7,-2,0,-1,-3,-14,-6,-21,-22,-11,-8,-5,-5,-23,-21,-13,-4,-14,-8,-12,-17,-8,0,4,-3,-4,-10,-13,-14,-12,-6,0,-1,0,-6,-8,-4,2,-17,-10,-8,-4,0,-2,-8,-6,1,-6,-4,-4,-9,-3,1,3,4,3
Prince Edward Island,Canada,46.5107,-63.4168,0,2,1,1,1,0,-3,-1,-1,-3,1,7,-2,-4,-3,-1,-3,-7,-11,-1,-3,-11,-6,1,-1,-2,3,1,0,-4,-6,-3,-1,-1,0,0,-2,-5,-1,-6,-9,1,0,0,0,-13,-9,0,1,-6,1,-12,-8,0,2,2,2,0,0,0,0,0,-1,2,2,0,-2,-4,0,-4,0,0,-2,1,2,-1,-4,1,0,2,5,2,-4,0,0,1
Quebec,Canada,52.9399,-73.5491,-5,-7,-7,-4,-12,-14,-16,-14,-12,-24,-10,-17,-23,-18,-17,-14,-24,-26,-22,-22,-18,-13,-4,-9,-13,-5,-2,-12,-14,-17,-13,-10,-8,-5,-4,-10,-19,-19,-23,-21,-12,-14,-6,-6,-26,-26,-10,-10,-19,-10,-21,-20,-7,-3,-10,-1,-8,-13,-9,-8,-8,-9,-4,-7,-7,-11,-13,-8,-21,-17,-9,-12,-9,-5,-8,-13,-9,-4,-12,-7,-7,-18,-10,-4,-1,0
Saskatchewan,Canada,52.9399,-106.4509,-4,-3,-2,-7,-3,-6,-5,-21,-15,-18,-25,-15,-15,-23,-26,-28,-24,-17,-17,-22,-8,0,-4,-4,-3,-2,-4,-5,-2,-4,1,3,-1,-4,-14,-8,-11,-14,-4,-5,-3,-3,-2,-23,-13,-5,-17,-11,-14,-17,-15,-3,0,0,-1,-4,-9,-5,1,2,1,-7,1,0,0,0,1,-9,-12,-5,0,2,-6,-12,-11,-7,-2,-7,-9,-7,-4,-2,1,0,-1,0
,Central African Republic,6.6111,20.9394,38,35,35,36,36,35,36,37,37,37,36,35,36,37,38,39,38,38,36,37,36,36,35,35,35,37,37,37,38,38,38,37,38,38,37,37,37,39,39,39,38,37,37,37,38,39,40,39,36,39,38,39,40,39,41,36,38,40,41,41,40,36,38,40,39,40,38,40,38,38,38,35,37,38,38,40,40,37,38,38,36,36,38,36,38,36
,Chad,15.4542,18.7322,29,24,23,25,27,29,31,29,29,32,33,32,34,35,34,31,28,26,28,30,29,29,28,27,29,30,32,32,32,31,30,30,31,32,31,31,33,34,33,32,30,29,29,32,33,34,35,32,33,33,34,35,34,33,29,30,34,37,39,37,38,39,39,39,39,39,41,42,41,39,37,30,30,33,35,36,38,38,38,39,40,42,43,43,43,43
,Chile,-35.6751,-71.543,35,32,33,33,32,25,28,28,24,27,31,34,34,33,31,28,34,36,37,35,35,36,32,31,35,34,34,34,31,31,34,35,32,34,31,28,28,29,32,35,35,34,34,30,28,31,32,31,25,33,33,35,31,30,29,25,31,34,34,34,35,31,31,33,34,35,34,31,32,34,34,33,31,29,30,31,28,28,30,30,30,23,25,27,26,30
Anhui,China,31.8257,117.2264,6,9,8,8,11,9,5,6,4,5,5,8,8,7,2,3,6,6,10,12,7,7,9,7,7,3,6,9,11,10,12,13,14,13,15,12,4,6,9,14,15,15,17,19,17,3,7,11,13,15,18,16,18,20,24,19,14,14,9,12,11,12,14,15,15,14,19,14,10,15,19,19,16,17,21,19,23,25,22,27,26,22,21,23,25,21
Beijing,China,40.1824,116.4142,-1,3,5,7,3,4,4,4,2,4,0,2,1,0,1,2,3,4,5,4,4,6,8,3,5,4,5,8,9,7,11,5,5,4,1,-2,0,4,6,10,12,13,14,14,5,1,4,10,11,11,8,11,11,11,12,11,11,10,12,7,11,12,9,9,12,14,17,9,14,13,17,15,14,17,20,17,24,25,20,26,21,25,23,21,23,14
Chongqing,China,30.0572,107.874,13,14,15,13,13,10,15,11,12,11,13,15,12,12,11,12,14,11,12,14,15,15,11,10,10,12,13,14,14,16,13,11,10,12,16,14,11,14,15,17,13,18,20,20,17,7,11,14,14,15,13,15,15,16,14,16,20,22,15,20,21,12,12,14,16,16,20,18,13,18,15,20,17,19,18,17,18,22,25,27,26,23,24,26,27,30
Fujian,China,26.0789,117.9874,15,19,18,20,20,22,23,18,20,19,14,11,16,16,15,14,10,12,10,15,16,22,23,21,16,10,7,8,9,9,13,14,12,8,10,12,11,12,13,14,18,19,18,18,16,19,4,9,12,15,19,22,21,21,24,25,25,22,24,23,20,17,18,12,13,18,20,19,18,15,16,12,20,16,18,19,15,16,15,17,24,27,23,19,25,23
Gansu,China,37.8099,101.0583,-2,-2,-3,-4,-9,-8,-7,-6,-7,-10,-8,-10,-4,-1,-6,-5,-5,-9,-8,-6,-6,-6,-7,-8,-8,-9,-10,-9,-9,-8,-7,-11,-10,-7,-5,-7,-5,-5,-6,-3,-3,-1,0,-2,-13,-8,-6,-3,-4,-2,-7,-2,1,2,2,1,0,-1,3,-3,-4,-3,-2,-1,0,1,5,-6,-4,-2,-1,-7,-2,1,-1,-2,0,0,1,1,2,3,4,6,4,3
Guangdong,China,23.3417,113.4244,23,22,25,26,24,25,27,26,22,24,21,20,21,20,23,20,19,14,14,19,21,24,26,24,19,14,14,16,17,19,20,20,21,16,15,18,19,18,19,18,20,17,24,22,22,22,10,16,19,21,22,25,26,26,25,26,29,27,25,27,27,25,25,16,21,22,24,25,26,23,19,21,24,25,23,23,22,22,21,24,26,29,30,28,26,27
Guangxi,China,23.8298,108.7881,21,22,23,23,25,26,27,25,23,22,10,17,16,10,12,10,10,9,11,11,17,22,23,16,9,13,12,13,16,18,19,14,13,10,12,11,16,13,10,13,16,19,22,22,23,22,12,15,18,19,17,19,23,24,25,25,26,27,24,25,24,20,16,11,15,19,25,27,25,20,18,18,20,20,22,17,16,18,23,22,27,29,28,27,23,27
Guizhou,China,26.8154,106.8748,16,13,6,11,16,15,14,15,7,5,8,13,7,3,3,4,5,4,7,7,16,15,7,3,1,5,4,5,8,10,8,8,5,5,8,7,8,4,4,7,9,11,16,18,19,6,4,8,10,14,11,8,11,15,19,19,19,20,14,17,11,11,7,8,12,15,16,22,14,10,13,17,14,13,15,10,9,12,18,22,27,22,20,22,23,24
Hainan,China,19.1959,109.7453,19,21,21,20,22,24,26,23,24,24,23,17,23,23,23,26,21,23,21,21,23,26,27,26,26,12,12,12,14,16,18,19,23,23,23,21,25,23,18,17,17,22,25,24,26,28,14,13,16,21,20,21,22,22,25,26,26,25,22,26,27,26,26,25,17,23,29,31,33,23,24,30,33,21,20,23,24,25,27,27,29,31,30,29,28,29
Hebei,China,39.549,116.1306,0,2,5,7,3,3,4,5,3,4,0,2,2,1,2,2,3,3,6,5,5,7,9,5,6,5,6,7,9,8,10,6,5,5,3,0,0,4,7,11,14,15,15,14,1,1,4,10,11,10,8,12,11,14,12,11,10,9,12,8,12,12,9,8,13,15,17,12,12,14,19,15,13,17,20,18,24,27,20,26,20,23,24,21,23,13
Heilongjiang,China,47.862,127.7615,-17,-16,-14,-12,-13,-7,-6,-7,-9,-11,-11,-15,-12,-13,-13,-15,-14,-11,-9,-11,-10,-12,-12,-14,-12,-12,-4,-5,-7,-7,-7,-13,-14,-17,-17,-17,-17,-13,-12,-10,-9,0,0,-7,-9,-7,-11,-7,-9,-5,-6,-4,-5,-5,-5,0,0,-2,-1,-3,-2,-1,-1,-1,-3,0,0,0,-1,0,0,-4,-7,0,-2,-2,1,1,4,4,3,2,3,6,11,1
Henan,China,33.882,113.614,6,7,12,14,5,2,5,5,5,8,7,5,9,6,2,5,10,10,11,10,8,10,11,5,8,5,8,12,12,13,16,13,15,13,14,2,2,9,14,19,19,18,19,20,16,6,10,15,17,18,17,18,17,22,21,17,10,5,13,15,16,13,15,15,17,18,21,17,13,18,21,21,16,20,23,22,26,29,23,29,28,23,25,25,24,18
Hong Kong,China,22.3,114.2,19,20,20,21,21,22,25,24,19,21,23,19,20,20,20,22,20,19,19,19,19,22,24,23,21,17,15,17,18,19,17,18,19,20,19,19,19,21,20,18,18,20,23,21,22,22,15,17,17,19,20,21,23,22,21,24,25,21,22,24,25,21,22,22,19,20,23,23,23,25,20,22,24,23,21,22,23,22,22,22,24,26,26,24,24,25
Hubei,China,30.9756,112.2707,5,10,9,12,8,3,10,4,4,4,11,11,9,11,4,8,9,9,13,14,11,9,8,6,7,6,8,11,14,15,16,14,14,16,17,15,4,11,14,17,15,14,18,20,16,5,12,14,15,18,18,19,20,20,25,22,17,9,11,16,18,8,15,17,16,17,21,15,13,19,19,21,18,22,24,20,25,26,27,29,27,20,24,24,25,22
